ship,berth,k,value
0,0,0,8688
0,0,1,9002
0,0,2,7852
0,1,0,5811
0,1,1,10126
0,1,2,7759
0,2,0,10393
0,2,1,5909
0,2,2,10740
0,3,0,5712
0,3,1,6063
0,3,2,6156
0,4,0,8540
0,4,1,10270
0,4,2,6487
0,5,0,7382
0,5,1,7559
0,5,2,5104
0,6,0,10204
0,6,1,5194
0,6,2,10611
0,7,0,9533
0,7,1,7224
0,7,2,10061
0,8,0,9105
0,8,1,5172
0,8,2,6962
1,0,0,9098
1,0,1,6650
1,0,2,10560
1,1,0,6886
1,1,1,5654
1,1,2,7063
1,2,0,8622
1,2,1,5810
1,2,2,7461
1,3,0,6119
1,3,1,8659
1,3,2,6477
1,4,0,5266
1,4,1,7513
1,4,2,8204
1,5,0,7116
1,5,1,5778
1,5,2,5437
1,6,0,7151
1,6,1,6420
1,6,2,7218
1,7,0,9011
1,7,1,10624
1,7,2,6499
1,8,0,6339
1,8,1,9903
1,8,2,9595
2,0,0,7678
2,0,1,8135
2,0,2,9570
2,1,0,8785
2,1,1,6001
2,1,2,9583
2,2,0,8347
2,2,1,5906
2,2,2,9085
2,3,0,9166
2,3,1,10094
2,3,2,5607
2,4,0,5783
2,4,1,10049
2,4,2,9722
2,5,0,7948
2,5,1,5819
2,5,2,8409
2,6,0,5201
2,6,1,7152
2,6,2,7605
2,7,0,9847
2,7,1,5548
2,7,2,8412
2,8,0,10813
2,8,1,9570
2,8,2,5779
3,0,0,7299
3,0,1,5043
3,0,2,7684
3,1,0,6195
3,1,1,8772
3,1,2,8272
3,2,0,7722
3,2,1,9653
3,2,2,9412
3,3,0,8266
3,3,1,7091
3,3,2,8139
3,4,0,5160
3,4,1,7232
3,4,2,5575
3,5,0,7835
3,5,1,5942
3,5,2,6585
3,6,0,10312
3,6,1,8146
3,6,2,9365
3,7,0,8793
3,7,1,5786
3,7,2,10959
3,8,0,10817
3,8,1,9965
3,8,2,6871
4,0,0,9519
4,0,1,7772
4,0,2,5154
4,1,0,5224
4,1,1,5725
4,1,2,6430
4,2,0,6361
4,2,1,7171
4,2,2,5018
4,3,0,10639
4,3,1,10425
4,3,2,6163
4,4,0,9664
4,4,1,7818
4,4,2,5139
4,5,0,5107
4,5,1,6434
4,5,2,9680
4,6,0,8158
4,6,1,7880
4,6,2,10639
4,7,0,6752
4,7,1,9988
4,7,2,8123
4,8,0,5156
4,8,1,10806
4,8,2,9285
5,0,0,7390
5,0,1,6977
5,0,2,10262
5,1,0,10707
5,1,1,5788
5,1,2,9110
5,2,0,10825
5,2,1,7019
5,2,2,6758
5,3,0,9715
5,3,1,7858
5,3,2,7309
5,4,0,6223
5,4,1,6563
5,4,2,9140
5,5,0,6689
5,5,1,9677
5,5,2,8164
5,6,0,9224
5,6,1,9004
5,6,2,6653
5,7,0,6913
5,7,1,10297
5,7,2,7435
5,8,0,9502
5,8,1,8588
5,8,2,6538
