ship,k,value
0,0,2
0,1,4
0,2,5
1,0,2
1,1,4
1,2,2
2,0,3
2,1,3
2,2,4
3,0,5
3,1,3
3,2,5
4,0,4
4,1,3
4,2,3
5,0,4
5,1,4
5,2,2
6,0,4
6,1,3
6,2,5
7,0,5
7,1,3
7,2,2
8,0,4
8,1,2
8,2,3
9,0,3
9,1,2
9,2,5
10,0,2
10,1,3
10,2,2
11,0,2
11,1,3
11,2,5
12,0,2
12,1,3
12,2,3
13,0,3
13,1,2
13,2,2
14,0,5
14,1,3
14,2,5
15,0,2
15,1,5
15,2,3
16,0,4
16,1,4
16,2,5
17,0,2
17,1,3
17,2,4
18,0,4
18,1,2
18,2,5
19,0,4
19,1,5
19,2,5
20,0,5
20,1,4
20,2,4
21,0,5
21,1,4
21,2,5
22,0,4
22,1,5
22,2,4
23,0,5
23,1,2
23,2,2
24,0,2
24,1,3
24,2,4
25,0,4
25,1,2
25,2,5
26,0,3
26,1,2
26,2,2
27,0,5
27,1,5
27,2,4
28,0,5
28,1,5
28,2,3
29,0,2
29,1,4
29,2,2
30,0,3
30,1,3
30,2,3
31,0,5
31,1,4
31,2,5
32,0,3
32,1,5
32,2,4
33,0,2
33,1,4
33,2,2
34,0,3
34,1,4
34,2,5
35,0,5
35,1,4
35,2,2
36,0,5
36,1,4
36,2,2
37,0,4
37,1,3
37,2,4
38,0,2
38,1,2
38,2,4
39,0,5
39,1,3
39,2,2
40,0,2
40,1,4
40,2,5
41,0,4
41,1,2
41,2,3
42,0,5
42,1,5
42,2,5
43,0,4
43,1,3
43,2,2
44,0,5
44,1,2
44,2,3
45,0,3
45,1,4
45,2,2
46,0,3
46,1,2
46,2,4
47,0,3
47,1,3
47,2,4
48,0,2
48,1,5
48,2,4
49,0,4
49,1,4
49,2,4
