ship,berth,k,value
0,0,0,6237
0,0,1,5236
0,0,2,7368
0,1,0,5796
0,1,1,7026
0,1,2,7524
0,2,0,7950
0,2,1,9317
0,2,2,8096
0,3,0,10612
0,3,1,6597
0,3,2,5727
1,0,0,9819
1,0,1,10669
1,0,2,6377
1,1,0,6804
1,1,1,9382
1,1,2,10795
1,2,0,8214
1,2,1,10423
1,2,2,8563
1,3,0,8150
1,3,1,9574
1,3,2,5343
2,0,0,6790
2,0,1,6553
2,0,2,7741
2,1,0,6932
2,1,1,10805
2,1,2,6425
2,2,0,6982
2,2,1,8014
2,2,2,9701
2,3,0,9948
2,3,1,7548
2,3,2,8108
3,0,0,7537
3,0,1,8457
3,0,2,9068
3,1,0,7878
3,1,1,7453
3,1,2,6387
3,2,0,8220
3,2,1,8879
3,2,2,10901
3,3,0,8477
3,3,1,9611
3,3,2,5017
4,0,0,6557
4,0,1,7660
4,0,2,6346
4,1,0,7700
4,1,1,8051
4,1,2,9946
4,2,0,8059
4,2,1,8822
4,2,2,7814
4,3,0,7708
4,3,1,7313
4,3,2,7017
5,0,0,10659
5,0,1,5124
5,0,2,7790
5,1,0,7413
5,1,1,9334
5,1,2,7566
5,2,0,9120
5,2,1,6513
5,2,2,7543
5,3,0,5400
5,3,1,6776
5,3,2,7638
6,0,0,8628
6,0,1,9506
6,0,2,10520
6,1,0,5768
6,1,1,9852
6,1,2,10366
6,2,0,6630
6,2,1,5251
6,2,2,5543
6,3,0,6672
6,3,1,8591
6,3,2,5241
7,0,0,6304
7,0,1,9645
7,0,2,8743
7,1,0,7491
7,1,1,8085
7,1,2,5748
7,2,0,8596
7,2,1,7715
7,2,2,9833
7,3,0,5143
7,3,1,10112
7,3,2,9897
8,0,0,5007
8,0,1,7842
8,0,2,7171
8,1,0,8373
8,1,1,9953
8,1,2,10925
8,2,0,6886
8,2,1,6797
8,2,2,5298
8,3,0,6019
8,3,1,7838
8,3,2,10361
9,0,0,10780
9,0,1,6779
9,0,2,10644
9,1,0,6146
9,1,1,7861
9,1,2,9906
9,2,0,8834
9,2,1,10868
9,2,2,10353
9,3,0,6657
9,3,1,9166
9,3,2,5273
10,0,0,5947
10,0,1,9365
10,0,2,9841
10,1,0,9220
10,1,1,6955
10,1,2,9721
10,2,0,9635
10,2,1,9510
10,2,2,7861
10,3,0,7679
10,3,1,6225
10,3,2,10327
11,0,0,6589
11,0,1,7345
11,0,2,5913
11,1,0,6844
11,1,1,7061
11,1,2,6816
11,2,0,10599
11,2,1,9589
11,2,2,5407
11,3,0,9505
11,3,1,8010
11,3,2,10565
12,0,0,8012
12,0,1,9229
12,0,2,8308
12,1,0,6363
12,1,1,9771
12,1,2,7531
12,2,0,5598
12,2,1,5455
12,2,2,8804
12,3,0,9991
12,3,1,5415
12,3,2,9170
13,0,0,10396
13,0,1,8375
13,0,2,9745
13,1,0,5741
13,1,1,8735
13,1,2,10446
13,2,0,10218
13,2,1,9815
13,2,2,10389
13,3,0,7332
13,3,1,10676
13,3,2,10298
14,0,0,5557
14,0,1,5362
14,0,2,8887
14,1,0,10886
14,1,1,9045
14,1,2,7575
14,2,0,7469
14,2,1,10278
14,2,2,6016
14,3,0,9318
14,3,1,5710
14,3,2,9491
15,0,0,8732
15,0,1,7094
15,0,2,7123
15,1,0,6959
15,1,1,6979
15,1,2,6333
15,2,0,10115
15,2,1,5301
15,2,2,10447
15,3,0,5840
15,3,1,8053
15,3,2,6144
16,0,0,8139
16,0,1,10376
16,0,2,9759
16,1,0,9655
16,1,1,5804
16,1,2,5389
16,2,0,9627
16,2,1,5870
16,2,2,8597
16,3,0,6758
16,3,1,10022
16,3,2,8453
17,0,0,8665
17,0,1,7439
17,0,2,10540
17,1,0,7079
17,1,1,9999
17,1,2,8948
17,2,0,10429
17,2,1,7543
17,2,2,8869
17,3,0,5942
17,3,1,9767
17,3,2,9401
