ship,k,value
0,0,0.641037
0,1,0.752705
0,2,0.725452
1,0,0.738443
1,1,0.773262
1,2,0.810653
2,0,0.655618
2,1,0.687806
2,2,0.728593
3,0,0.680185
3,1,0.768605
3,2,0.757024
4,0,0.814076
4,1,0.685053
4,2,0.723472
5,0,0.65922
5,1,0.689086
5,2,0.841128
6,0,0.614316
6,1,0.860989
6,2,0.870639
7,0,0.733272
7,1,0.69298
7,2,0.658751
8,0,0.760598
8,1,0.761239
8,2,0.633856
9,0,0.761066
9,1,0.785554
9,2,0.74002
10,0,0.833489
10,1,0.833327
10,2,0.705777
11,0,0.85212
11,1,0.675255
11,2,0.729507
12,0,0.707102
12,1,0.862765
12,2,0.733804
13,0,0.798012
13,1,0.731082
13,2,0.712563
14,0,0.759563
14,1,0.688457
14,2,0.626493
15,0,0.800869
15,1,0.790851
15,2,0.621109
16,0,0.850974
16,1,0.710485
16,2,0.687417
17,0,0.688127
17,1,0.61495
17,2,0.845752
