ship,k,row,slot
0,0,8,2
0,1,10,7
0,2,9,0
1,0,3,0
1,0,3,1
1,1,14,1
1,1,14,2
1,2,12,3
1,2,12,4
2,0,1,5
2,0,1,6
2,1,16,3
2,1,16,4
2,2,12,0
3,0,16,5
3,0,16,6
3,0,16,7
3,1,18,1
3,1,18,2
3,2,16,8
3,2,16,9
4,0,1,4
4,1,7,1
4,2,13,0
5,0,3,7
5,1,15,3
5,2,1,1
6,0,9,1
6,0,9,2
6,1,7,2
6,1,7,3
6,2,7,4
6,2,7,5
6,2,7,6
7,0,5,2
7,0,5,3
7,1,0,2
7,1,0,3
7,2,19,0
7,2,19,1
8,0,16,0
8,1,18,3
8,1,18,4
8,2,11,7
8,2,11,8
9,0,4,0
9,0,4,1
9,1,13,3
9,1,13,4
9,2,10,0
9,2,10,1
10,0,8,3
10,0,8,4
10,0,8,5
10,1,19,8
10,1,19,9
10,1,19,10
10,1,19,11
10,2,6,2
10,2,6,3
11,0,5,6
11,0,5,7
11,1,11,5
11,1,11,6
11,2,17,1
12,0,4,4
12,0,4,5
12,1,18,0
12,2,11,1
13,0,6,0
13,1,15,4
13,1,15,5
13,2,2,5
13,2,2,6
13,2,2,7
14,0,15,8
14,1,8,9
14,2,6,8
15,0,3,2
15,0,3,3
15,0,3,4
15,1,12,1
15,1,12,2
15,2,12,5
15,2,12,6
15,2,12,7
16,0,2,4
16,1,19,6
16,2,19,4
17,0,5,1
17,1,2,2
17,2,18,8
17,2,18,9
18,0,15,0
18,1,15,1
18,2,8,1
19,0,2,0
19,1,14,8
19,1,14,9
19,2,12,9
19,2,12,10
20,0,13,5
20,0,13,6
20,1,14,0
20,2,0,4
20,2,0,5
21,0,10,3
21,0,10,4
21,1,6,5
21,1,6,6
21,2,19,2
21,2,19,3
22,0,16,1
22,0,16,2
22,1,11,2
22,1,11,3
22,2,13,1
22,2,13,2
23,0,3,5
23,1,10,5
23,2,17,7
23,2,17,8
24,0,5,0
24,1,0,7
24,1,0,8
24,2,9,4
24,2,9,5
25,0,17,5
25,0,17,6
25,1,14,5
25,1,14,6
25,1,14,7
25,2,11,0
26,0,15,6
26,1,6,4
26,2,6,1
27,0,4,8
27,1,8,8
27,2,3,9
28,0,8,0
28,1,2,1
28,2,17,4
29,0,17,9
29,1,6,7
29,2,3,6
30,0,0,0
30,0,0,1
30,1,9,6
30,1,9,7
30,2,14,3
30,2,14,4
31,0,9,3
31,1,10,2
31,2,4,2
32,0,17,0
32,1,11,4
32,2,4,6
32,2,4,7
33,0,1,2
33,0,1,3
33,1,1,0
33,2,17,2
33,2,17,3
34,0,4,3
34,1,2,3
34,2,7,7
34,2,7,8
35,0,7,0
35,1,5,4
35,1,5,5
35,2,18,5
35,2,18,6
35,2,18,7
36,0,19,5
36,1,12,8
36,2,13,8
