ship,k,e_sk
0,0,135
0,1,139.29
0,2,144.592
1,0,64
1,1,73.1047
1,2,85.2522
2,0,87
2,1,101.142
2,2,109.734
3,0,124.95
3,1,139.541
3,2,146.657
4,0,43.8089
4,1,51.7016
4,2,58.4299
5,0,151.953
5,1,156.608
5,2,162.889
6,0,154.284
6,1,168.705
6,2,178.34
7,0,164
7,1,171.816
7,2,179.268
8,0,147
8,1,156.349
8,2,167.149
9,0,157.063
9,1,171.649
9,2,184.665
10,0,167.809
10,1,181.379
10,2,193.179
11,0,164.18
11,1,171.394
11,2,176.703
12,0,72.3502
12,1,80.4213
12,2,90.5181
13,0,4
13,1,10.709
13,2,20.1087
14,0,148
14,1,150.355
14,2,153.881
15,0,0
15,1,14.3549
15,2,24.3657
16,0,67
16,1,69.7087
16,2,72.5419
17,0,101.735
17,1,107.279
17,2,112.809
18,0,112.95
18,1,123.028
18,2,134.06
19,0,22
19,1,31.3365
19,2,36.7312
20,0,120.112
20,1,134.72
20,2,142.925
21,0,57.7
21,1,68.6385
21,2,85.571
22,0,90.8755
22,1,102.415
22,2,111.875
23,0,40.5738
23,1,46.9655
23,2,52.8829
24,0,87.2262
24,1,96.6886
24,2,104.595
25,0,129
25,1,135.203
25,2,146.326
26,0,103.254
26,1,106.875
26,2,110.42
27,0,121.251
27,1,127.243
27,2,130.311
28,0,32.5018
28,1,36.6482
28,2,42.7601
29,0,76.9906
29,1,80.27
29,2,83.1887
30,0,26
30,1,38.2
30,2,49.0926
31,0,147.874
31,1,153.146
31,2,158.866
32,0,117.548
32,1,129.52
32,2,137.203
33,0,59.7659
33,1,67.836
33,2,81.4578
34,0,24
34,1,31.2239
34,2,35.5363
35,0,99
35,1,106.473
35,2,116.391
36,0,58
36,1,64.1127
36,2,67.2328
