ship,transshipment_cost,storage_cost,berth_time,alpha,beta,weighted_contribution
0,1.64661e+06,3094,12.874,1,20000,1.90718e+06
1,4.53054e+06,6558,32.4827,1,20000,5.18675e+06
2,3.77306e+06,4881,30.5477,1,20000,4.38889e+06
3,4.20084e+06,7002,43.2841,1,20000,5.07353e+06
4,2.45984e+06,2865,24.9641,1,20000,2.96199e+06
5,2.21158e+06,3028,55.8093,1,20000,3.33079e+06
6,4.92551e+06,8008,34.7409,1,20000,5.62834e+06
7,3.88681e+06,6196,24.7856,1,20000,4.38872e+06
8,3.94101e+06,4793,29.2974,1,20000,4.53175e+06
9,4.48871e+06,5648,77.706,1,20000,6.04847e+06
10,5.19579e+06,8963,37.3609,1,20000,5.95197e+06
11,2.9812e+06,5201,18.0758,1,20000,3.34792e+06
12,3.33675e+06,3838,53.7347,1,20000,4.41529e+06
13,3.72717e+06,6376,23.5776,1,20000,4.2051e+06
14,1.21687e+06,2865,9.06335,1,20000,1.401e+06
15,4.44894e+06,8870,32.5018,1,20000,5.10785e+06
16,1.4399e+06,2869,9.99059,1,20000,1.64258e+06
17,2.54077e+06,3979,39.1118,1,20000,3.32699e+06
18,3.26004e+06,2874,113.967,1,20000,5.54224e+06
19,2.9416e+06,5523,21.8089,1,20000,3.3833e+06
20,4.1982e+06,5322,91.9527,1,20000,6.04258e+06
21,4.62712e+06,6270,82.2542,1,20000,6.27847e+06
22,4.41818e+06,5940,39.2511,1,20000,5.20914e+06
23,1.96466e+06,4297,29.7,1,20000,2.56296e+06
24,3.09449e+06,5289,31.4601,1,20000,3.72898e+06
25,3.46286e+06,6226,25.1125,1,20000,3.97134e+06
26,1.17974e+06,2875,39.9496,1,20000,1.98161e+06
27,1.77311e+06,2977,15.5779,1,20000,2.08764e+06
28,1.95869e+06,2978,17.7677,1,20000,2.31703e+06
29,1.15575e+06,3011,18.2262,1,20000,1.52329e+06
30,3.70432e+06,6030,33.7659,1,20000,4.38567e+06
31,2.2554e+06,3049,42.1804,1,20000,3.10205e+06
32,3.15911e+06,4060,60.4217,1,20000,4.37161e+06
33,3.96329e+06,4922,36.8755,1,20000,4.70572e+06
34,2.24807e+06,4180,16.5738,1,20000,2.58373e+06
35,3.94515e+06,6604,25.9503,1,20000,4.47076e+06
36,1.81663e+06,3099,14.3502,1,20000,2.10673e+06
