ship,berth,k,value
0,0,0,5945
0,0,1,5783
0,0,2,5906
0,1,0,10367
0,1,1,5318
0,1,2,7927
0,2,0,8334
0,2,1,7417
0,2,2,5347
0,3,0,7983
0,3,1,9826
0,3,2,5128
1,0,0,7354
1,0,1,5607
1,0,2,8382
1,1,0,5220
1,1,1,10064
1,1,2,10776
1,2,0,5986
1,2,1,10398
1,2,2,6988
1,3,0,5044
1,3,1,6046
1,3,2,5471
2,0,0,10305
2,0,1,8959
2,0,2,5753
2,1,0,10840
2,1,1,7072
2,1,2,6300
2,2,0,8740
2,2,1,7212
2,2,2,10781
2,3,0,9685
2,3,1,5726
2,3,2,9281
3,0,0,8931
3,0,1,7980
3,0,2,8333
3,1,0,8128
3,1,1,6060
3,1,2,9342
3,2,0,9973
3,2,1,5073
3,2,2,5873
3,3,0,6692
3,3,1,9550
3,3,2,7143
4,0,0,7769
4,0,1,10727
4,0,2,5878
4,1,0,7134
4,1,1,9493
4,1,2,9466
4,2,0,10252
4,2,1,7402
4,2,2,10063
4,3,0,6261
4,3,1,6749
4,3,2,9959
5,0,0,5972
5,0,1,6235
5,0,2,9360
5,1,0,10699
5,1,1,6319
5,1,2,8635
5,2,0,9011
5,2,1,5389
5,2,2,6325
5,3,0,5834
5,3,1,7282
5,3,2,10875
6,0,0,10372
6,0,1,6043
6,0,2,8975
6,1,0,10741
6,1,1,9247
6,1,2,8436
6,2,0,7443
6,2,1,9939
6,2,2,9039
6,3,0,8150
6,3,1,8529
6,3,2,8941
7,0,0,10995
7,0,1,6714
7,0,2,8231
7,1,0,10144
7,1,1,8880
7,1,2,7132
7,2,0,9974
7,2,1,9333
7,2,2,5261
7,3,0,5681
7,3,1,7842
7,3,2,7652
8,0,0,6343
8,0,1,8845
8,0,2,5906
8,1,0,9688
8,1,1,7128
8,1,2,9680
8,2,0,8197
8,2,1,10363
8,2,2,8581
8,3,0,7215
8,3,1,6212
8,3,2,7518
9,0,0,5671
9,0,1,7407
9,0,2,5164
9,1,0,7051
9,1,1,10135
9,1,2,6330
9,2,0,6496
9,2,1,7366
9,2,2,6464
9,3,0,6809
9,3,1,10909
9,3,2,7922
10,0,0,6388
10,0,1,8723
10,0,2,5717
10,1,0,6981
10,1,1,6535
10,1,2,7757
10,2,0,7083
10,2,1,7403
10,2,2,6601
10,3,0,6837
10,3,1,10391
10,3,2,7077
11,0,0,10211
11,0,1,7321
11,0,2,9589
11,1,0,9954
11,1,1,7114
11,1,2,10977
11,2,0,10653
11,2,1,5244
11,2,2,10302
11,3,0,8898
11,3,1,7786
11,3,2,10834
12,0,0,6153
12,0,1,10119
12,0,2,10802
12,1,0,8397
12,1,1,8162
12,1,2,6975
12,2,0,10411
12,2,1,9202
12,2,2,6162
12,3,0,6603
12,3,1,6111
12,3,2,7855
