ship,k,value
0,0,0.817829
0,1,0.77748
0,2,0.691859
1,0,0.611227
1,1,0.675714
1,2,0.82529
2,0,0.717618
2,1,0.835892
2,2,0.759106
3,0,0.780227
3,1,0.67327
3,2,0.822484
4,0,0.809469
4,1,0.630094
4,2,0.815454
5,0,0.827056
5,1,0.674323
5,2,0.73396
6,0,0.776046
6,1,0.846109
6,2,0.612045
7,0,0.683197
7,1,0.675609
7,2,0.723263
8,0,0.697988
8,1,0.780083
8,2,0.723577
9,0,0.854773
9,1,0.757037
9,2,0.663196
10,0,0.710103
10,1,0.794708
10,2,0.784215
11,0,0.806012
11,1,0.841616
11,2,0.852696
12,0,0.637888
12,1,0.726985
12,2,0.673439
